xxxxxxxxxxxxxxxx || xxxxxxxxxxxxxxxx || x
000000e000000000 || xxxxxxxxxxxxxxxx || x
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000001c000000001 || 0
000000e000000000 || 0000038000000003 || 0
000000e000000000 || 0000070000000007 || 0
000000e000000000 || 00000e000000000f || 0
000000e000000000 || 00001c000000001f || 0
000000e000000000 || 000038000000003f || 0
000000e000000000 || 000070000000007f || 0
000000e000000000 || 0000e000000000ff || 0
000000e000000000 || 0001c000000001ff || 0
000000e000000000 || 00038000000003ff || 0
000000e000000000 || 00070000000007ff || 0
000000e000000000 || 000e000000000fff || 0
000000e000000000 || 001c000000001fff || 0
000000e000000000 || 0038000000003fff || 0
000000e000000000 || 0070000000007fff || 0
000000e000000000 || 00e000000000ffff || 0
000000e000000000 || 01c000000001ffff || 0
000000e000000000 || 038000000003ffff || 0
000000e000000000 || 070000000007ffff || 0
000000e000000000 || 0e000000000fffff || 0
000000e000000000 || 1c000000001ffffe || 0
000000e000000000 || 38000000003ffffd || 0
000000e000000000 || 70000000007ffffb || 0
000000e000000000 || e000000000fffff7 || 0
000000e000000000 || c000000001ffffef || 0
000000e000000000 || 8000000003ffffdf || 0
000000e000000000 || 0000000007ffffbe || 0
000000e000000000 || 000000000fffff7d || 0
000000e000000000 || 000000001ffffefb || 0
000000e000000000 || 000000003ffffdf7 || 0
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
000000e000000000 || 000000e000000000 || 1
